Pipeline,Family,Acc8,Acc22,AccDiff,AUC8,AUC22,AUCDiff
aug\_ts\_lr,Aug-TS,0.794,0.835,5.164,0.855,0.894,4.561
aug\_ts\_mlp,Aug-TS,0.778,0.829,6.555,0.852,0.887,4.108
aug\_ts\_svm,Aug-TS,0.796,0.838,5.276,0.854,0.898,5.152
csp\_lda,CSP,0.753,0.782,3.851,0.801,0.834,4.12
csp\_mlp,CSP,0.762,0.786,3.15,0.801,0.836,4.37
csp\_rf,CSP,0.733,0.761,3.82,0.776,0.807,3.995
csp\_svm,CSP,0.75,0.781,4.133,0.798,0.824,3.258
cov\_mdm,Riemannian,0.723,0.738,2.075,0.775,0.796,2.71
cov\_ts\_lr,Riemannian,0.764,0.79,3.403,0.819,0.856,4.518
cov\_ts\_mlp,Riemannian,0.741,0.799,7.827,0.806,0.861,6.824
cov\_ts\_svm,Riemannian,0.758,0.809,6.728,0.813,0.873,7.38
