pipeline,Family_,accuracy_8ch,accuracy_22ch,accuracy_pct_Diff,roc_auc_8ch,roc_auc_22ch,roc_auc_pct_Diff
aug_ts_lr,Aug-TS,0.794,0.835,5.163727959697724,0.855,0.894,4.561403508771934
aug_ts_mlp,Aug-TS,0.778,0.829,6.555269922879169,0.852,0.887,4.1079812206572806
aug_ts_svm,Aug-TS,0.796,0.838,5.276381909547729,0.854,0.898,5.152224824355977
csp_lda,CSP,0.753,0.782,3.8512616201859267,0.801,0.834,4.119850187265907
csp_mlp,CSP,0.762,0.786,3.1496062992126013,0.801,0.836,4.369538077403236
csp_rf,CSP,0.733,0.761,3.8199181446111905,0.776,0.807,3.9948453608247454
csp_svm,CSP,0.75,0.781,4.133333333333336,0.798,0.824,3.2581453634085102
cov_mdm,Riemannian,0.723,0.738,2.0746887966805,0.775,0.796,2.709677419354841
cov_ts_lr,Riemannian,0.764,0.79,3.4031413612565475,0.819,0.856,4.517704517704522
cov_ts_mlp,Riemannian,0.741,0.799,7.8272604588394135,0.806,0.861,6.823821339950364
cov_ts_svm,Riemannian,0.758,0.809,6.728232189973621,0.813,0.873,7.380073800738014
