EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
54761.600,750000.100,750000.100,698884.400,-44712.070,618431.500,567494.000,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
675187.300,639322.900,750000.100,750000.100,747705.500,701100.900,720914.500,666633.900,0.000
560125.200,525213.400,750000.100,750000.100,574698.800,580964.700,589482.300,547006.900,0.000
479285.600,449603.500,750000.100,750000.100,488617.000,496874.600,505100.400,470678.000,0.000
418715.200,396766.700,750000.100,750000.100,457722.300,434734.400,447871.700,417195.800,0.000
369199.300,352182.500,750000.100,750000.100,424288.100,383798.800,398197.300,369472.800,0.000
339825.800,322056.900,750000.100,750000.100,375134.100,353250.000,362880.800,336040.300,0.000
322409.000,302594.900,750000.100,750000.100,329824.100,334682.200,339624.800,315605.300,0.000
314577.800,295416.200,750000.100,750000.100,320664.100,326305.700,331989.000,309823.200,0.000
312323.900,296125.000,750000.100,750000.100,341477.800,324278.000,334407.100,311895.600,0.000
306329.700,292237.800,750000.100,750000.100,351153.100,318371.000,330623.300,307131.200,0.000
292896.700,277685.400,750000.100,750000.100,322273.800,304409.200,313060.500,290307.500,0.000
280623.800,263481.300,750000.100,750000.100,286102.500,291201.300,295848.300,275396.300,0.000
276121.300,259361.400,750000.100,750000.100,280487.500,286260.700,291575.500,272592.400,0.000
276213.100,261930.500,736195.800,750000.100,300922.900,286625.900,295869.800,276439.300,0.000
272829.100,260307.700,714306.300,750000.100,311614.900,283412.800,294565.300,274120.100,0.000
262609.200,248996.500,688971.400,750000.100,287828.300,272806.100,280783.000,260852.200,0.000
253204.400,237766.300,665616.600,750000.100,257114.900,262619.400,267027.300,249027.600,0.000
250596.100,235418.800,648699.300,750000.100,253589.100,259662.400,264693.600,247897.800,0.000
252028.500,239024.100,636137.600,750000.100,273595.300,261407.600,270022.800,252710.800,0.000
250187.800,238725.800,622317.000,750000.100,284745.400,259775.600,270156.500,251811.900,0.000
241953.600,229430.400,604605.100,750000.100,264221.200,251230.600,258724.900,240747.900,0.000
234320.900,220060.900,588078.900,750000.100,237061.400,242926.200,247142.700,230855.900,0.000
232862.500,218784.100,576950.600,750000.100,234820.600,241193.200,245998.600,230739.000,0.000
235094.600,222983.300,569408.500,750000.100,254387.400,243749.000,251907.400,236084.200,0.000
234212.600,223492.800,560285.200,750000.100,265708.600,243098.300,252924.800,236059.000,0.000
227275.400,215523.100,547150.500,739855.600,247371.300,235908.600,243053.900,226460.700,0.000
220821.200,207394.500,534775.000,713480.100,222664.400,228855.200,232943.400,217866.100,0.000
220125.100,206827.900,527186.300,700280.600,221282.700,227926.100,232583.500,218409.500,0.000
222867.800,211395.100,522732.000,697518.100,240469.400,231002.400,238843.700,224079.900,0.000
222638.300,212455.900,516554.300,690559.100,251886.500,231007.600,240449.500,224644.800,0.000
216608.700,205412.800,506346.400,670215.400,235090.800,224759.300,231662.100,216064.200,0.000
210982.400,198161.300,496659.700,648657.300,212125.800,218586.600,222581.500,208378.300,0.000
210798.400,198078.000,491361.200,639361.800,211333.800,218201.300,222747.100,209364.800,0.000
213876.900,202880.400,488909.200,639809.900,230217.500,221621.700,229226.500,215238.800,0.000
214082.200,204300.200,484667.800,636011.900,241669.700,222078.100,231227.900,216201.500,0.000
208690.400,197914.800,476422.400,619128.100,225979.000,216492.900,223215.200,208349.800,0.000
203653.800,191291.100,468558.200,600843.700,204272.400,210949.400,214877.300,201321.200,0.000
203835.400,191543.500,464816.000,594180.000,203894.800,210947.400,215409.400,202617.900,0.000
207161.200,196512.400,463729.700,596785.500,222546.500,214613.600,222037.300,208629.800,0.000
207688.600,198199.300,460827.800,595147.300,234016.800,215394.300,224324.900,209884.000,0.000
202765.100,192296.700,453956.600,580669.600,219142.000,210297.800,216880.100,202567.600,0.000
198160.500,186136.300,447367.400,564673.100,198363.500,205198.400,209075.500,196012.700,0.000
198603.800,186639.000,444709.200,559853.800,198293.100,205484.800,209885.900,197541.000,0.000
202093.000,191721.400,444577.800,563959.800,216754.500,209325.500,216618.500,203648.400,0.000
202848.400,193599.500,442621.200,563840.400,228224.600,210341.700,219108.900,205104.200,0.000
198272.800,188052.000,436734.400,551082.800,213949.700,205601.400,212078.500,198181.000,0.000
193987.300,182231.800,431066.000,536745.100,193882.000,200847.700,204682.400,191988.100,0.000
194626.400,182915.900,429195.200,533256.300,194051.200,201345.300,205697.300,193684.000,0.000
198244.900,188080.600,429755.600,538439.400,212356.500,205311.600,212498.200,199859.100,0.000
199170.500,190092.900,428482.800,539418.600,223810.200,206494.800,215134.500,201470.300,0.000
194851.900,184812.100,423314.300,527930.200,210004.800,202027.000,208425.400,194849.800,0.000
190805.900,179251.500,418325.800,514812.200,190474.700,197528.700,201338.200,188926.600,0.000
191595.600,180075.800,417033.500,512301.500,190807.200,198180.900,202501.400,190747.500,0.000
195311.900,185305.400,418106.000,518287.900,208990.300,202246.300,209359.700,196973.700,0.000
196368.000,187423.000,417342.500,520083.600,220425.600,203566.200,212108.800,198697.500,0.000
192244.700,182345.500,412712.600,509532.300,206969.100,199298.800,205634.600,192301.800,0.000
188379.000,176978.700,408228.200,497325.900,187852.500,194992.700,198777.800,186585.800,0.000
189271.400,177899.400,407364.700,495543.800,188310.200,195758.700,200051.800,188499.000,0.000
193048.900,183166.800,408815.200,502121.200,206382.400,199889.800,206944.600,194755.800,0.000
194201.300,185364.500,408440.500,504532.200,217807.300,201308.400,209782.700,196568.000,0.000
190228.500,180444.100,404222.900,494703.400,204626.600,197198.600,203496.100,190348.700,0.000
186506.500,175231.300,400127.500,483197.700,185829.300,193050.200,196823.800,184793.600,0.000
187493.400,176238.500,399599.100,481977.500,186390.900,193902.600,198180.500,186777.500,0.000
191324.300,181537.600,401343.900,489008.000,204386.300,198083.600,205097.900,193059.300,0.000
192547.300,183792.100,401263.000,491884.300,215788.200,199575.700,207997.900,194938.000,0.000
188693.500,178991.900,397358.700,482608.300,202815.400,195589.900,201854.400,188854.400,0.000
185085.900,173900.100,393566.900,471649.200,184271.900,191557.400,195319.000,183424.600,0.000
186138.800,174969.200,393299.000,470868.900,184914.700,192493.600,196752.900,185471.200,0.000
190008.500,180294.100,395269.000,478251.200,202851.300,196716.000,203695.600,191774.200,0.000
191287.700,182595.700,395419.300,481493.600,214250.800,198262.000,206641.400,193701.100,0.000
187521.700,177886.900,391763.500,472646.300,201432.500,194367.700,200601.800,187718.400,0.000
183998.700,172887.500,388205.400,462110.400,183082.600,190423.300,194173.000,182380.900,0.000
185099.800,174003.300,388132.900,461666.700,183778.300,191404.500,195654.500,184465.200,0.000
189004.200,179348.900,390284.500,469329.500,201669.800,195661.900,202617.700,190791.500,0.000
190324.800,181684.000,390618.300,472862.900,213073.300,197257.100,205609.500,192766.600,0.000
186624.800,177045.800,387152.000,464352.800,200373.400,193429.400,199655.600,186861.100,0.000
183172.500,172117.900,383776.300,454147.800,182157.600,189554.800,193309.300,181593.500,0.000
184314.200,173271.700,383864.800,453975.000,182903.500,190582.200,194831.500,183712.500,0.000
188239.100,178631.700,386154.700,461853.000,200766.700,194863.600,201802.900,190048.100,0.000
189599.000,180998.400,386627.800,465615.800,212163.300,196496.400,204823.200,192049.800,0.000
185953.200,176416.000,383312.800,457377.700,199556.700,192730.700,198935.400,186206.900,0.000
182542.500,171535.700,380076.600,447432.600,181446.300,188905.700,192649.300,180994.100,0.000
183716.700,172715.400,380287.800,447474.900,182230.600,189964.400,194206.000,183143.200,0.000
187669.000,178095.800,382696.500,455542.900,200089.300,194274.400,201201.400,189500.400,0.000
189053.400,180483.900,383283.300,459487.200,211490.500,195931.600,204243.500,191528.600,0.000
185449.600,175943.100,380087.800,451456.400,198949.000,192202.900,198400.400,185730.600,0.000
182081.300,171106.300,376969.900,441720.100,180926.300,188422.300,192165.200,180563.200,0.000
183283.500,172312.300,377284.000,441935.600,181741.000,189512.100,193750.300,182732.900,0.000
187247.900,177697.900,379776.200,450142.300,199576.800,193826.100,200745.600,189092.500,0.000
188654.100,180104.200,380450.200,454237.400,210983.300,195502.100,203803.000,191136.700,0.000
185079.700,175597.300,377347.400,446374.100,198500.100,191804.300,197998.600,185372.500,0.000
181737.200,170785.800,374311.500,436792.300,180530.500,188049.400,191793.000,180229.700,0.000
182955.000,172006.900,374698.900,437144.100,181365.600,189154.400,193391.400,182412.300,0.000
186931.000,177401.800,377264.500,445475.300,199189.100,193489.300,200402.400,188782.700,0.000
188357.700,179824.100,378016.600,449696.900,210595.100,195187.800,203481.600,190846.400,0.000
184804.800,175335.300,374987.300,441965.900,198144.700,191515.100,197703.100,185107.000,0.000
181483.300,170546.600,372023.800,432519.800,180230.300,187781.100,191524.600,179990.600,0.000
182717.300,171783.100,372478.800,432986.200,181082.600,188901.700,193137.100,182182.300,0.000
186698.100,177181.000,375099.300,441413.600,198890.400,193240.300,200146.900,188553.000,0.000
188131.700,179609.900,375904.700,445738.100,210292.200,194946.800,203234.000,190625.800,0.000
184594.200,175136.200,372935.400,438114.600,197865.500,191288.100,197474.600,184905.200,0.000
181289.300,170368.100,370032.500,428776.600,179985.800,187575.000,191321.000,179811.100,0.000
182535.000,171613.500,370542.100,429339.300,180855.500,188707.600,192945.600,182016.200,0.000
186530.100,177019.800,373215.400,437854.600,198663.800,193055.800,199960.600,188390.600,0.000
187966.700,179447.100,374064.400,442255.600,210066.300,194772.400,203051.600,190466.500,0.000
184437.900,174981.000,371138.500,434711.800,197657.200,191124.000,197304.000,184759.200,0.000
181144.300,170224.500,368282.200,425457.300,179798.400,187424.000,191168.000,179681.800,0.000
182392.700,171477.900,368829.800,426093.900,180676.700,188554.900,192795.700,181889.200,0.000
186389.000,176886.900,371536.800,434677.700,198483.100,192908.300,199813.200,188263.300,0.000
187838.200,179328.800,372427.600,439155.400,209890.400,194636.700,202916.100,190349.900,0.000
184323.900,174880.400,369544.900,431692.200,197501.600,191000.900,197180.800,184654.600,0.000
181033.000,170129.200,366718.800,422498.800,179652.900,187294.500,191040.800,179574.000,0.000
182284.700,171386.200,367298.000,423195.900,180536.100,188436.400,192675.200,181788.100,0.000
186290.300,176803.000,370041.000,431841.300,198349.200,192798.500,199700.200,188170.000,0.000
187740.900,179246.300,370958.500,436375.000,209758.100,194526.800,202802.200,190257.100,0.000
184226.600,174801.400,368104.600,428966.900,197365.600,190896.100,197071.700,184567.200,0.000
180948.900,170064.300,365316.400,419841.300,179539.400,187208.000,190954.800,179504.500,0.000
182205.600,171322.900,365922.300,420591.300,180436.300,188350.200,192594.000,181722.800,0.000
186213.900,176737.300,368690.800,429286.300,198251.600,192715.300,199621.400,188105.400,0.000
187672.400,179183.100,369643.300,433871.800,209660.500,194450.400,202732.800,190198.700,0.000
184166.800,174742.500,366819.300,426514.800,197280.200,190824.400,197011.900,184514.200,0.000
180887.700,170003.200,364051.400,417434.000,179461.100,187138.700,190896.300,179452.300,0.000
182157.100,171273.700,364686.300,418239.900,180377.800,188295.700,192549.200,181679.800,0.000
186170.300,176693.800,367477.300,426973.900,198185.700,192661.400,199577.800,188063.200,0.000
187627.500,179136.900,368444.200,431583.600,209568.300,194388.100,202676.400,190150.200,0.000
184116.400,174694.500,365637.900,424262.600,197192.300,190766.800,196955.800,184470.000,0.000
180859.100,169976.200,362903.200,415252.300,179434.300,187110.600,190868.900,179432.800,0.000
182135.700,171255.700,363564.100,416116.500,180384.200,188274.200,192531.000,181665.300,0.000
186130.000,176659.600,366364.200,424864.000,198147.200,192623.100,199537.400,188028.500,0.000
