Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
21889.049473,180351.578125,170096.421875,191767.78125,181718.703125,176909.140625,187576.828125,191145.6875,180003.4375
21889.0519032,182936.78125,172848.90625,193460.171875,185300.265625,181724.421875,189852.953125,194401.890625,183597.0625
21889.0545188,188817.53125,179942.09375,197328.625,197299.390625,203061.5,195185.8125,202449.421875,190502.40625
21889.0545271,190063.6875,181837.265625,198158.328125,201609.34375,212366.078125,196322.53125,204410.203125,191353.65625
21889.0569071,184461.890625,175311.890625,194473.421875,191297.765625,195045.890625,191348.375,196972.515625,184434.796875
21889.0595178,180345.78125,170089.09375,191760.0,181702.34375,176878.296875,187565.921875,191137.46875,179995.484375
21889.0595252,182935.890625,172852.21875,193458.203125,185295.875,181720.234375,189836.421875,194396.171875,183594.109375
21889.0619237,188834.703125,179965.171875,197338.734375,197325.859375,203111.109375,195192.515625,202467.296875,190515.640625
21889.068535,190075.046875,181849.6875,198164.578125,201630.09375,212405.421875,196340.234375,204427.453125,191361.15625
21889.0685436,184445.171875,175294.375,194465.015625,191274.078125,195018.890625,191343.1875,196959.375,184415.84375
21889.076969,180333.53125,170082.125,191756.703125,181679.546875,176856.3125,187556.625,191126.734375,179984.5625
21889.0769774,182945.28125,172862.140625,193463.125,185302.046875,181746.15625,189848.9375,194405.46875,183602.421875
21889.083534,188846.40625,179977.78125,197342.84375,197351.078125,203171.28125,195211.390625,202487.859375,190532.09375
21889.0835479,190069.046875,181845.671875,198157.515625,201641.890625,212446.8125,196348.375,204438.625,191364.375
21889.0945385,184421.390625,175268.34375,194439.4375,191239.75,194979.734375,191319.765625,196930.328125,184387.59375
21889.0945466,180318.859375,170061.375,191737.203125,181648.171875,176812.234375,187538.65625,191099.109375,179959.53125
21889.0969506,182969.953125,172884.84375,193478.40625,185331.90625,181784.953125,189869.765625,194429.15625,183622.71875
21889.0969586,188873.140625,180008.796875,197362.421875,197405.15625,203250.859375,195245.53125,202529.4375,190564.71875
21889.1309106,190082.90625,181863.453125,198165.484375,201669.34375,212485.890625,196368.484375,204462.140625,191380.03125
21889.1335183,184418.078125,175262.359375,194435.875,191229.375,194962.75,191322.53125,196931.3125,184380.359375
21889.133527,180305.984375,170046.0,191728.71875,181621.703125,176775.03125,187524.625,191087.671875,179941.921875
21889.13591,182956.015625,172873.9375,193462.046875,185317.078125,181773.421875,189849.828125,194418.875,183610.5625
21889.1384742,188895.578125,180034.734375,197369.40625,197441.28125,203314.15625,195259.3125,202559.46875,190586.984375
21889.1409357,190097.9375,181882.6875,198173.890625,201697.953125,212539.796875,196385.46875,204484.40625,191393.53125
21889.1424747,184412.71875,175261.734375,194436.765625,191221.15625,194940.484375,191317.890625,196918.875,184367.125
21889.1694716,180303.578125,170046.09375,191731.125,181616.34375,176731.9375,187516.75,191071.921875,179931.8125
21889.1719091,182967.28125,172886.8125,193474.109375,185341.296875,181778.875,189863.234375,194429.609375,183621.46875
21889.1744822,188915.796875,180057.703125,197387.453125,197493.59375,203390.875,195290.78125,202591.578125,190618.546875
21889.1769543,190111.96875,181896.359375,198182.90625,201750.078125,212628.9375,196410.515625,204509.625,191415.34375
21889.1769619,184397.34375,175242.25,194427.375,191223.03125,194922.328125,191307.34375,196901.265625,184350.9375
21889.1794685,180291.6875,170030.984375,191726.390625,181605.421875,176655.328125,187496.640625,191043.140625,179909.734375
21889.1819112,182978.265625,172897.015625,193484.21875,185366.0625,181766.8125,189866.8125,194431.484375,183627.375
21889.1844773,188943.59375,180084.796875,197402.21875,197550.984375,203484.390625,195322.421875,202624.734375,190643.671875
21889.1869029,190137.359375,181915.578125,198195.15625,201792.359375,212719.78125,196442.34375,204538.234375,191433.21875
21889.1894713,184410.9375,175249.9375,194433.8125,191229.734375,194918.9375,191311.8125,196905.203125,184348.078125
21889.1919105,180285.78125,170021.953125,191723.890625,181582.546875,176567.609375,187478.9375,191027.5,179893.46875
21889.1944908,182978.71875,172894.15625,193484.046875,185361.78125,181727.203125,189860.734375,194430.765625,183626.65625
21889.1969031,188964.421875,180101.609375,197416.0625,197593.984375,203567.625,195346.5625,202657.828125,190671.03125
21889.1995126,190146.5625,181925.234375,198204.1875,201833.046875,212820.359375,196463.890625,204568.71875,191452.796875
21889.199519,184387.59375,175229.640625,194428.09375,191217.75,194904.625,191300.90625,196893.75,184334.9375
21889.2019026,180264.6875,170002.8125,191719.234375,181555.359375,176510.65625,187462.390625,191007.375,179878.71875
21889.204519,182975.328125,172893.078125,193488.875,185359.71875,181718.265625,189863.328125,194433.71875,183631.75
21889.2045249,188981.59375,180121.0,197428.859375,197636.640625,203644.515625,195373.390625,202685.890625,190696.15625
21889.2069531,190169.640625,181946.703125,198215.1875,201886.859375,212920.5,196499.375,204600.90625,191475.25
21889.2069616,184374.90625,175218.1875,194415.578125,191201.21875,194901.140625,191292.671875,196875.515625,184313.203125
21889.213471,180236.15625,169979.921875,191699.296875,181506.984375,176452.1875,187429.046875,190967.859375,179846.609375
21889.2269561,182969.421875,172890.390625,193479.75,185350.859375,181718.4375,189845.4375,194421.390625,183628.265625
21889.2269644,189009.84375,180150.421875,197435.5625,197683.75,203729.09375,195398.15625,202723.890625,190727.625
21889.2370173,190187.25,181966.0,198217.421875,201925.484375,212992.46875,196523.78125,204630.765625,191494.28125
21889.2370272,184364.796875,175207.5625,194404.3125,191191.375,194891.84375,191289.015625,196863.984375,184300.953125
21889.2370317,180210.859375,169954.265625,191685.265625,181461.3125,176385.40625,187402.40625,190930.9375,179822.65625
21889.2446037,182966.375,172887.171875,193479.65625,185338.796875,181697.609375,189842.9375,194410.203125,183626.5625
21889.244612,189039.625,180176.609375,197452.015625,197739.453125,203812.0625,195436.234375,202757.0625,190755.96875
21889.2446142,190217.015625,181987.015625,198226.28125,201982.4375,213084.28125,196559.28125,204659.828125,191510.375
21889.255953,184354.15625,175192.890625,194392.953125,191173.859375,194859.390625,191274.796875,196841.453125,184280.578125
21889.2559618,180183.671875,169932.09375,191669.078125,181413.734375,176286.078125,187376.5625,190897.671875,179801.734375
21889.2670073,182969.875,172898.703125,193482.515625,185334.421875,181664.078125,189845.53125,194408.15625,183631.75
21889.2670156,189079.3125,180219.078125,197472.75,197804.28125,203907.90625,195478.890625,202797.46875,190785.015625
21889.2670179,190247.234375,182015.8125,198238.171875,202041.0,213181.03125,196593.171875,204686.828125,191525.046875
21889.2709589,184330.828125,175170.265625,194378.109375,191130.671875,194782.859375,191251.453125,196801.484375,184246.875
21889.2709669,180143.71875,169894.984375,191651.203125,181331.75,176127.734375,187329.0,190839.109375,179761.5
21889.2919373,182985.0625,172915.703125,193498.703125,185342.734375,181649.78125,189855.90625,194420.75,183650.34375
21889.2970297,189138.328125,180274.78125,197505.75,197905.9375,204068.75,195539.421875,202868.828125,190841.703125
21889.2970402,190283.1875,182049.515625,198259.625,202118.15625,213320.046875,196638.9375,204737.25,191556.0625
21889.2970434,184307.671875,175149.53125,194370.6875,191107.328125,194759.609375,191236.96875,196787.546875,184227.015625
21889.2996025,180105.890625,169859.9375,191635.8125,181260.046875,176022.140625,187283.9375,190798.4375,179729.40625
21889.2996118,182973.4375,172903.984375,193494.140625,185319.9375,181620.625,189840.609375,194415.390625,183649.984375
21889.2996149,189172.125,180307.78125,197526.84375,197962.25,204160.671875,195573.65625,202911.203125,190873.984375
21889.3034705,190311.96875,182076.421875,198273.296875,202166.4375,213403.640625,196668.1875,204767.109375,191569.125
21889.3219561,184287.546875,175131.296875,194360.765625,191074.171875,194719.734375,191223.296875,196765.984375,184201.890625
21889.3219647,180067.453125,169829.359375,191620.625,181199.703125,175949.0,187254.609375,190761.953125,179703.65625
21889.3245976,182958.25,172892.0,193489.5,185294.265625,181601.5,189832.21875,194406.453125,183646.5
21889.3246063,189192.78125,180327.453125,197535.421875,198000.34375,204224.953125,195592.34375,202939.640625,190895.53125
21889.3246094,190339.5,182104.046875,198288.5,202226.171875,213486.53125,196697.0625,204803.5,191589.953125
21889.3284785,184276.109375,175119.3125,194355.765625,191061.734375,194698.09375,191207.375,196745.96875,184179.359375
21889.3585348,180034.640625,169796.46875,191605.515625,181133.359375,175846.1875,187208.828125,190711.703125,179666.546875
21889.3585432,182947.515625,172884.3125,193489.9375,185273.265625,181560.546875,189812.28125,194391.4375,183642.203125
21889.3609578,189222.453125,180353.015625,197554.734375,198057.390625,204299.0625,195624.265625,202979.421875,190924.140625
21889.3609653,190368.75,182126.5,198304.15625,202290.09375,213571.203125,196731.921875,204838.453125,191609.09375
21889.3634713,184263.5,175111.0,194351.921875,191050.109375,194673.421875,191196.109375,196727.640625,184164.53125
