Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
21889.049473,-102.72438779499072,-57.06013564380288,-196.7482030552882,100.361881254465,402.1932325230541,-133.54215528611627,-4.996959045141693,-7.4832729521795045
21889.0519032,-797.3980671385127,-455.8650496357077,-1406.3413405136837,852.5903594289061,3342.8589935485106,-992.5568335290038,-162.2038877168061,-381.08417444370434
21889.0545188,-1316.4729790049305,-753.6600156328736,-2308.3822249531095,1414.9647321816383,5542.285299743701,-1634.103188237827,-280.90000134868706,-663.7316227479118
21889.0545271,-1565.5437877801191,-896.2119549418885,-2739.234150388517,1685.259020091452,6600.618415050785,-1941.8770580767587,-339.32684132092436,-803.683642634036
21889.0569071,-1566.2024520041196,-896.0241472998487,-2738.843897567963,1686.5400283962317,6607.135589695106,-1943.3275551101447,-340.84911311187716,-808.4284529973884
21889.0595178,-1425.4961802765556,-814.6611197211505,-2494.383048340107,1534.320611903442,6013.403386358965,-1770.7239715468695,-308.9639676188326,-733.4957107588916
21889.0595252,-1263.8967538984562,-721.3438814319143,-2213.7324062252114,1358.790252405412,5329.72923898622,-1571.8237422812927,-271.783864711007,-645.9388428437492
21889.0619237,-1153.9864364065506,-657.8212536432166,-2021.1793373023563,1238.4981586256945,4864.522431227435,-1435.2324869898735,-246.88362770636968,-587.9174478047644
21889.068535,-1107.584554613712,-631.008207947415,-1937.7028660689857,1186.3958344224147,4668.136968151355,-1375.7427780993025,-236.8955607711723,-565.5988350731805
21889.0685436,-1103.5328782179804,-628.831956609587,-1928.757170226385,1179.9147206172352,4650.562038784554,-1368.4899132235028,-236.08897580162102,-564.7758653227165
21889.076969,-1118.2529362593082,-637.6707458114474,-1954.5364649004528,1194.0225965931209,4712.193852760194,-1385.3508947422893,-238.82072406855832,-571.5846835712591
21889.0769774,-1134.50519013141,-647.4444115961328,-1983.905897139904,1210.5507920737623,4781.359036441316,-1404.9028483593634,-242.08649685697537,-579.0649844312966
21889.083534,-1137.1773198593369,-649.3657121229003,-1988.90923151027,1213.3703605350702,4795.052901538292,-1407.7626338026907,-243.37181608989567,-581.8365486882685
21889.0835479,-1115.767522597489,-637.4293068159805,-1951.318560920568,1190.9015476298569,4707.950326742257,-1380.6811056647912,-239.90370733712962,-573.7516710361574
21889.0945385,-1073.9186481700858,-613.7729775040566,-1878.7957627577107,1146.5264592979952,4533.303763082473,-1328.4607367378535,-231.1728396647709,-553.7092575459928
21889.0945466,-1029.4318997272826,-588.5701051926021,-1802.6714421370025,1098.9372204303545,4345.164778724079,-1273.2530578631047,-220.4959913684179,-529.6795028660226
21889.0969506,-998.7652906134854,-571.1746818899524,-1750.2536087418298,1065.6867963210357,4214.069251615434,-1235.0507032989285,-212.23354597852085,-512.2782174137528
21889.0969586,-982.2086123918411,-561.726869784864,-1720.8892254407044,1047.2263969431915,4143.2592121862,-1213.9567840000377,-207.4917854465707,-504.212332065375
21889.1309106,-967.2595687680982,-553.0772592224621,-1693.6060334235535,1030.3777232336583,4080.9214783482107,-1194.993564946383,-203.65085303920114,-498.71192218217493
21889.1335183,-945.2270256767815,-540.1830494447245,-1655.115742345935,1006.057518963561,3989.7312560079517,-1168.2487853382122,-198.20856898177772,-488.80560318408334
21889.133527,-919.9844391194085,-525.1152148328956,-1612.639844426828,978.6423173553358,3884.989965105239,-1138.646044408592,-191.86757865709887,-475.3791610157491
21889.13591,-899.4257572697522,-512.3639479476678,-1578.3565696927583,956.7527354976387,3799.6574593021833,-1115.001731977462,-187.05817114762567,-464.2040167645573
21889.1384742,-883.1530525831124,-501.9710148294612,-1549.8938944044228,939.9623751384602,3732.0443262122503,-1095.6443741365554,-184.29313440844635,-457.0512309887117
21889.1409357,-863.3978592807839,-489.9445616038324,-1513.8517164218017,919.7702949602576,3648.7522628865854,-1070.6296838543628,-181.4283642547466,-449.27037243131554
21889.1424747,-836.8049924270499,-474.6559231105657,-1465.7737561527936,892.3743743445975,3534.5293851986166,-1036.3905082631245,-176.6675956104782,-436.6109839792034
21889.1694716,-809.8717599036559,-459.7375298151401,-1417.6034976387812,864.7162833939392,3416.5428753656483,-1001.634203129671,-171.0312531671093,-421.3809151052292
21889.1719091,-790.3486070760443,-449.3078457882625,-1382.116994357013,845.3403776767495,3328.9422964807104,-976.1346323335938,-166.9262159883947,-409.44837861415044
21889.1744822,-776.6453558323726,-442.21936165559987,-1356.0252015613291,832.840592770423,3267.3038020123945,-957.9337588059691,-164.87460652294521,-402.4461104046004
21889.1769543,-759.8537415615833,-433.33068601216337,-1324.8414617884025,817.688304879101,3195.4578286590286,-936.3658631700632,-162.86225223504835,-395.8921287708679
21889.1769619,-735.4731688192755,-420.0716735130088,-1282.4126161870288,794.6638860575754,3094.271490954977,-906.4240481840377,-159.0491108459696,-385.50475946323104
21889.1794685,-708.8617480106032,-405.431536324558,-1238.4122710541099,768.9686822748226,2985.4813561201704,-874.867369584018,-154.04140540470326,-372.835708016999
21889.1819112,-687.4429199256333,-393.58401154749777,-1204.3157787765658,748.300799260589,2899.792899527871,-850.3510523946461,-149.72376249052377,-362.67617365359456
21889.1844773,-670.7867285189311,-384.36809950357565,-1177.7308475952946,732.3134171434936,2834.836916123923,-831.6471820237239,-146.45787406372096,-356.159601562169
21889.1869029,-652.0157164119671,-374.0575910211942,-1146.2815910044997,713.7256101086432,2760.245875432764,-809.896476560677,-142.57861258640514,-349.14149795666503
21889.1894713,-628.0210389421582,-360.98687922145064,-1104.8967138140715,688.8796667197066,2660.832561622688,-781.123737128235,-136.8001821363057,-337.8836771001745
21889.1919105,-604.0815587119882,-348.06575207780315,-1062.4900895198573,662.8862255267181,2557.48789948428,-751.5254056715623,-130.12634185334173,-324.08497717644445
21889.1944908,-586.6486219444109,-338.7827105384654,-1029.4011838630959,642.5528726935829,2478.0118121213636,-728.6060818577955,-124.63882557963552,-312.48726103154286
21889.1969031,-574.4492892236708,-332.33599211950946,-1003.3920519422475,627.1843109644728,2419.215626723108,-710.7734865242589,-120.87601761851988,-304.5731002593743
21889.1995126,-560.0960316552821,-324.5844971671461,-973.2427772670301,609.8182272924332,2352.1107598975295,-689.6533395853355,-117.37422116605353,-296.97812034911567
21889.199519,-539.7947867632959,-313.4185509498989,-934.3892081449162,586.8181830100211,2261.7709525497517,-661.6105429092268,-112.88324826536586,-286.49279852706854
21889.2019026,-517.8830527468574,-301.21509854493456,-894.9544499286899,562.5394960239987,2166.77671559085,-632.591406933412,-108.12268066935803,-274.54952279159625
21889.204519,-500.38053136496933,-291.23740764806007,-864.3808189924815,543.0129495499873,2092.762521482323,-609.981516521641,-104.68938470831654,-265.10581179684095
