pipeline,channels,subject,accuracy,roc_auc
cov_ts_lr,8ch,1,0.844162129461585,0.9290980125700695
cov_ts_lr,8ch,2,0.5940713853599516,0.6111262102938679
cov_ts_lr,8ch,3,0.9444041137326072,0.9900543570579241
cov_ts_lr,8ch,4,0.7569267997580157,0.8324953286903345
cov_ts_lr,8ch,5,0.5626739261947973,0.591370817054527
cov_ts_lr,8ch,6,0.690865093768905,0.7549006285034823
cov_ts_lr,8ch,7,0.7290986085904416,0.7872600645490063
cov_ts_lr,8ch,8,0.9376285541439806,0.9860964837778156
cov_ts_lr,8ch,9,0.8126436781609195,0.88525564803805
cov_ts_svm,8ch,1,0.8508771929824561,0.9271870222524207
cov_ts_svm,8ch,2,0.5658197217180883,0.5980465432308477
cov_ts_svm,8ch,3,0.9583787053841502,0.9890946152539494
cov_ts_svm,8ch,4,0.7604960677555959,0.8386954306098182
cov_ts_svm,8ch,5,0.5449485783424077,0.5825717683030407
cov_ts_svm,8ch,6,0.6942528735632184,0.7395022931883812
cov_ts_svm,8ch,7,0.7081064730792498,0.7639035162221844
cov_ts_svm,8ch,8,0.9341802782819117,0.9885085782232036
cov_ts_svm,8ch,9,0.8093163944343619,0.892653303889927
cov_ts_mlp,8ch,1,0.8511191772534785,0.9204008833021913
cov_ts_mlp,8ch,2,0.5418632788868724,0.5718192627824019
cov_ts_mlp,8ch,3,0.9514216575922564,0.9907847800237812
cov_ts_mlp,8ch,4,0.7396854204476709,0.8426533038899269
cov_ts_mlp,8ch,5,0.5765275257108289,0.6129182945473076
cov_ts_mlp,8ch,6,0.6142770719903206,0.7233735349074231
cov_ts_mlp,8ch,7,0.6803992740471869,0.7448105996262951
cov_ts_mlp,8ch,8,0.9306715063520871,0.9846526244267029
cov_ts_mlp,8ch,9,0.7850574712643679,0.8660098522167488
cov_mdm,8ch,1,0.823049001814882,0.9226261253609648
cov_mdm,8ch,2,0.5211736237144585,0.5487175131645999
cov_mdm,8ch,3,0.941016333938294,0.9841515202989639
cov_mdm,8ch,4,0.6980036297640653,0.7692542891116019
cov_mdm,8ch,5,0.5383545069570477,0.5353405809410566
cov_mdm,8ch,6,0.6869328493647913,0.7066247664345167
cov_mdm,8ch,7,0.5867513611615246,0.6740360115508748
cov_mdm,8ch,8,0.9479733817301875,0.9883981654492949
cov_mdm,8ch,9,0.7604960677555959,0.84205028027858
aug_ts_lr,8ch,1,0.8750151240169389,0.9384915916426024
aug_ts_lr,8ch,2,0.6424077434966727,0.7104127739086122
aug_ts_lr,8ch,3,0.9479128856624319,0.9910905384746049
aug_ts_lr,8ch,4,0.7361766485178464,0.8148802446067608
aug_ts_lr,8ch,5,0.6321234119782213,0.6722948870392391
aug_ts_lr,8ch,6,0.7286751361161524,0.8120264990657381
aug_ts_lr,8ch,7,0.7810647307924985,0.8493630032274503
aug_ts_lr,8ch,8,0.9617664851784633,0.9946832002717854
aug_ts_lr,8ch,9,0.8404113732607381,0.9082894513334466
aug_ts_svm,8ch,1,0.8577132486388385,0.9429845422116528
aug_ts_svm,8ch,2,0.6598306110102843,0.6821725836589094
aug_ts_svm,8ch,3,0.951482153660012,0.9922626125360964
aug_ts_svm,8ch,4,0.7884452510586811,0.8640054357057924
aug_ts_svm,8ch,5,0.5761040532365396,0.6267113979955835
aug_ts_svm,8ch,6,0.7601330913490624,0.8228129777475794
aug_ts_svm,8ch,7,0.7566243194192377,0.8366400543570579
aug_ts_svm,8ch,8,0.9583182093163944,0.9932733140818752
