Batch,Pipeline,Accuracy,AUC,Status,Best Params
-1,aug_ts_lr,0.9617664851784633,0.9966196704603364,Baseline (Gold Only),{}
-1,aug_ts_svm,0.965275257108288,0.9975963988449126,Baseline (Gold Only),{}
-1,aug_ts_mlp,0.9721718088324259,0.9961015797519959,Baseline (Gold Only),{}
0,aug_ts_lr,0.936271186440678,0.9835708812260536,Refined,{}
0,aug_ts_svm,0.9295480225988701,0.9873180076628353,Refined,{}
0,aug_ts_mlp,0.9261581920903955,0.9842528735632184,Refined,{}
1,aug_ts_lr,0.9255949233209941,0.9863822407214707,Refined,{}
1,aug_ts_svm,0.9319936541512426,0.9810960804717308,Refined,{}
1,aug_ts_mlp,0.9158646218931782,0.9861879986125563,Refined,{}
2,aug_ts_lr,0.917906746031746,0.9830015120967742,Refined,{}
2,aug_ts_svm,0.9180059523809524,0.9792212701612903,Refined,{}
2,aug_ts_mlp,0.9180059523809524,0.9826108870967742,Refined,{}
3,aug_ts_lr,0.893006993006993,0.9709653351698806,Refined,{}
3,aug_ts_svm,0.8898834498834498,0.9685376492194674,Refined,{}
3,aug_ts_mlp,0.8869463869463867,0.9683539944903581,Refined,{}
4,aug_ts_lr,0.8874012291483758,0.9737548495333963,Refined,{}
4,aug_ts_svm,0.8874012291483758,0.9704781377791758,Refined,{}
4,aug_ts_mlp,0.8962686567164179,0.9714532871972317,Refined,{}
5,aug_ts_lr,0.8793788819875777,0.968,Refined,{}
5,aug_ts_svm,0.8850931677018634,0.9638559423769509,Refined,{}
5,aug_ts_mlp,0.8851759834368531,0.9690228091236495,Refined,{}
6,aug_ts_lr,0.8826291079812206,0.96663139329806,Refined,{}
6,aug_ts_svm,0.8827073552425665,0.9594268077601409,Refined,{}
6,aug_ts_mlp,0.8715571205007825,0.9613977072310407,Refined,{}
7,aug_ts_lr,0.8586079229914846,0.95751562373184,Refined,{}
7,aug_ts_svm,0.8720844131803036,0.9496875253632011,Refined,{}
7,aug_ts_mlp,0.8613476490188818,0.9544192841490139,Refined,{}
8,aug_ts_lr,0.8517543859649124,0.9457026278355919,Refined,{}
8,aug_ts_svm,0.8384561403508772,0.9333158643407952,Refined,{}
8,aug_ts_mlp,0.82,0.9375720595942202,Refined,{}
9,aug_ts_lr,0.8399933399933401,0.9389079206892973,Refined,{}
9,aug_ts_svm,0.8426573426573427,0.9282639537700266,Refined,{}
9,aug_ts_mlp,0.8116883116883118,0.9321499013806707,Refined,{}
