Batch,Pipeline,Accuracy,AUC,Status,Best Params
-1,aug_ts_lr,0.9098608590441621,0.9741209444538814,Baseline (Gold Only),{}
-1,aug_ts_svm,0.902843315184513,0.9745710888398165,Baseline (Gold Only),{}
-1,aug_ts_mlp,0.8960677555958864,0.9687786648547647,Baseline (Gold Only),{}
0,aug_ts_lr,0.8655932203389831,0.9469578544061303,Refined,{}
0,aug_ts_svm,0.8789830508474576,0.9427892720306513,Refined,{}
0,aug_ts_mlp,0.8891525423728813,0.9395862068965517,Refined,{}
1,aug_ts_lr,0.8737704918032787,0.9561845300034687,Refined,{}
1,aug_ts_svm,0.860655737704918,0.9479292403746097,Refined,{}
1,aug_ts_mlp,0.8508725542041248,0.9460145681581684,Refined,{}
2,aug_ts_lr,0.8489087301587303,0.9441217237903226,Refined,{}
2,aug_ts_svm,0.8489583333333334,0.9186491935483871,Refined,{}
2,aug_ts_mlp,0.8583829365079365,0.9415763608870968,Refined,{}
3,aug_ts_lr,0.8385081585081586,0.930274334251607,Refined,{}
3,aug_ts_svm,0.8323076923076922,0.9258207070707071,Refined,{}
3,aug_ts_mlp,0.823076923076923,0.9295339761248853,Refined,{}
4,aug_ts_lr,0.8460052677787534,0.927513893257838,Refined,{}
4,aug_ts_svm,0.8309920983318702,0.9044196288140924,Refined,{}
4,aug_ts_mlp,0.8222563652326602,0.9242896088916849,Refined,{}
5,aug_ts_lr,0.8247619047619048,0.9178343337334935,Refined,{}
5,aug_ts_svm,0.7846376811594202,0.8694405762304921,Refined,{}
5,aug_ts_mlp,0.8017805383022774,0.9019255702280912,Refined,{}
6,aug_ts_lr,0.8155320813771517,0.9113668430335096,Refined,{}
6,aug_ts_svm,0.7791079812206572,0.8634700176366843,Refined,{}
6,aug_ts_mlp,0.7931924882629107,0.9093915343915343,Refined,{}
7,aug_ts_lr,0.8149944465012957,0.9173484295105917,Refined,{}
7,aug_ts_svm,0.7741947426878933,0.8758014771528284,Refined,{}
7,aug_ts_mlp,0.7960755275823768,0.9106850093336579,Refined,{}
8,aug_ts_lr,0.8016842105263157,0.9042973721644081,Refined,{}
8,aug_ts_svm,0.7749122807017544,0.8779142022909335,Refined,{}
8,aug_ts_mlp,0.7778245614035088,0.8856442314891068,Refined,{}
9,aug_ts_lr,0.8040959040959041,0.9037267725526835,Refined,{}
9,aug_ts_svm,0.7886779886779887,0.8796186719263643,Refined,{}
9,aug_ts_mlp,0.7862137862137862,0.8928129001003494,Refined,{}
