Batch,Pipeline,Accuracy,AUC,Status,Best Params
-1,aug_ts_lr,0.9721718088324259,0.9975963988449126,Baseline (Gold Only),{}
-1,aug_ts_svm,0.9826376285541439,0.9980720231017497,Baseline (Gold Only),{}
-1,aug_ts_mlp,0.975741076830006,0.9988109393579073,Baseline (Gold Only),{}
0,aug_ts_lr,0.9462146892655368,0.9905593869731801,Refined,{}
0,aug_ts_svm,0.9462146892655368,0.9810268199233716,Refined,{}
0,aug_ts_mlp,0.9394915254237288,0.9867126436781609,Refined,{}
1,aug_ts_lr,0.9417239555790587,0.9895456122095039,Refined,{}
1,aug_ts_svm,0.9416710735060814,0.9789732917100243,Refined,{}
1,aug_ts_mlp,0.9318878900052882,0.9899271592091573,Refined,{}
2,aug_ts_lr,0.9179563492063492,0.9864037298387096,Refined,{}
2,aug_ts_svm,0.9368055555555556,0.9736517137096774,Refined,{}
2,aug_ts_mlp,0.9180555555555555,0.9850617439516128,Refined,{}
3,aug_ts_lr,0.9022377622377624,0.9776859504132233,Refined,{}
3,aug_ts_svm,0.9173892773892774,0.971608126721763,Refined,{}
3,aug_ts_mlp,0.9264801864801866,0.9755337465564737,Refined,{}
4,aug_ts_lr,0.8872695346795434,0.9684858970326099,Refined,{}
4,aug_ts_svm,0.9023266022827041,0.9581996434937612,Refined,{}
4,aug_ts_mlp,0.8963564530289727,0.9668134633532557,Refined,{}
5,aug_ts_lr,0.8879503105590063,0.9668955582232893,Refined,{}
5,aug_ts_svm,0.8793374741200829,0.9575654261704682,Refined,{}
5,aug_ts_mlp,0.8793788819875777,0.9548043217286916,Refined,{}
6,aug_ts_lr,0.8574334898278559,0.9491049382716049,Refined,{}
6,aug_ts_svm,0.868661971830986,0.9477292768959437,Refined,{}
6,aug_ts_mlp,0.8628716744913929,0.9482980599647266,Refined,{}
7,aug_ts_lr,0.8476860422065903,0.9488718448177907,Refined,{}
7,aug_ts_svm,0.8639392817475009,0.9401753104455807,Refined,{}
7,aug_ts_mlp,0.8666790077748981,0.9471512052593134,Refined,{}
8,aug_ts_lr,0.8199298245614035,0.9299992513288913,Refined,{}
8,aug_ts_svm,0.8304912280701753,0.9268623193830952,Refined,{}
8,aug_ts_mlp,0.8277543859649124,0.9349816575578348,Refined,{}
9,aug_ts_lr,0.822044622044622,0.9217931416311984,Refined,{}
9,aug_ts_svm,0.8194805194805195,0.9185300529430084,Refined,{}
9,aug_ts_mlp,0.8297036297036298,0.9243226409218313,Refined,{}
