Batch,Pipeline,Accuracy,AUC
0,cov_ts_lr,0.5,0.5
0,csp_svm,0.35,0.2
0,csp_lda,0.4,0.2
0,csp_rf,0.25,0.2
0,cov_ts_mlp,0.25,0.2
0,csp_mlp,0.3,0.2
1,cov_ts_lr,0.5,0.5
1,csp_svm,0.55,0.8
1,csp_lda,0.7,0.7
1,csp_rf,0.6,0.8
1,cov_ts_mlp,0.35,0.3
1,csp_mlp,0.75,0.7
2,cov_ts_lr,0.75,0.7
2,csp_svm,0.65,0.7
2,csp_lda,0.7,0.7
2,csp_rf,0.6,0.9
2,cov_ts_mlp,0.75,0.7
2,csp_mlp,0.7,0.7
3,cov_ts_lr,0.7,0.8
3,csp_svm,0.55,0.8
3,csp_lda,0.6,0.6
3,csp_rf,0.55,0.6
3,cov_ts_mlp,0.75,0.8
3,csp_mlp,0.6,0.7
4,cov_ts_lr,0.5,0.5
4,csp_svm,0.35,0.5
4,csp_lda,0.3,0.3
4,csp_rf,0.5,0.5
4,cov_ts_mlp,0.2,0.3
4,csp_mlp,0.45,0.4
5,cov_ts_lr,0.5,0.5
5,csp_svm,0.5,0.6
5,csp_lda,0.5,0.6
5,csp_rf,0.35,0.1
5,cov_ts_mlp,0.2,0.2
5,csp_mlp,0.45,0.6
6,cov_ts_lr,0.5,0.5
6,csp_svm,0.6,0.6
6,csp_lda,0.5,0.6
6,csp_rf,0.5,0.35
6,cov_ts_mlp,0.5,0.6
6,csp_mlp,0.55,0.6
7,cov_ts_lr,0.5,0.5
7,csp_svm,0.3,0.3
7,csp_lda,0.3,0.2
7,csp_rf,0.35,0.25
7,cov_ts_mlp,0.4,0.4
7,csp_mlp,0.4,0.5
8,cov_ts_lr,0.5,0.7
8,csp_svm,0.55,0.8
8,csp_lda,0.5,0.6
8,csp_rf,0.5,0.4
8,cov_ts_mlp,0.5,0.7
8,csp_mlp,0.45,0.6
9,cov_ts_lr,0.5,0.5
9,csp_svm,0.5,0.4
9,csp_lda,0.5,0.4
9,csp_rf,0.55,0.65
9,cov_ts_mlp,0.6,0.4
9,csp_mlp,0.7,0.5
Final,cov_ts_lr,0.5,0.5
Final,csp_svm,0.475,0.5050000000000001
Final,csp_lda,0.5199999999999999,0.49399999999999994
Final,csp_rf,0.525,0.526
Final,cov_ts_mlp,0.48500000000000004,0.491
Final,csp_mlp,0.5000000000000001,0.517
