Batch,Pipeline,Accuracy,AUC,Status,Best Params
0,aug_ts_lr,0.3,0.0,Dropped,{}
1,aug_ts_lr,0.5,0.4,Dropped,{}
2,aug_ts_lr,0.7,0.4,Accepted (CSD),{}
3,aug_ts_lr,0.7,0.8,Accepted (CSD),{}
4,aug_ts_lr,0.3,0.4,Dropped,{}
5,aug_ts_lr,0.3,0.4,Dropped,{}
6,aug_ts_lr,0.7,1.0,Accepted (CSD),{}
7,aug_ts_lr,0.5,0.6,Dropped,{}
8,aug_ts_lr,0.6,0.8,Accepted (CSD),{}
9,aug_ts_lr,0.5,0.4,Dropped,{}
Final,aug_ts_lr,0.4,0.3625,Merged (4 batches),{}
0,aug_ts_svm,0.4,0.2,Dropped,{}
1,aug_ts_svm,0.5,0.8,Dropped,{}
2,aug_ts_svm,0.5,0.4,Dropped,{}
3,aug_ts_svm,0.6,0.6,Accepted (CAR),{}
4,aug_ts_svm,0.4,0.4,Dropped,{}
5,aug_ts_svm,0.5,0.0,Dropped,{}
6,aug_ts_svm,0.6,0.8,Accepted (CAR),{}
7,aug_ts_svm,0.7,0.8,Accepted (CAR),{}
8,aug_ts_svm,0.7,0.6,Accepted (CAR),{}
9,aug_ts_svm,0.0,0.0,Dropped,{}
Final,aug_ts_svm,0.4,0.4,Merged (4 batches),{}
0,aug_ts_mlp,0.4,0.4,Dropped,{}
1,aug_ts_mlp,0.6,1.0,Accepted (CSD),{}
2,aug_ts_mlp,0.6,0.4,Accepted (CSD),{}
3,aug_ts_mlp,0.5,0.6,Dropped,{}
4,aug_ts_mlp,0.3,0.2,Dropped,{}
5,aug_ts_mlp,0.5,0.4,Dropped,{}
6,aug_ts_mlp,0.6,1.0,Accepted (CSD),{}
7,aug_ts_mlp,0.6,0.6,Accepted (CSD),{}
8,aug_ts_mlp,0.8,0.6,Accepted (CSD),{}
9,aug_ts_mlp,0.4,0.2,Dropped,{}
Final,aug_ts_mlp,0.48,0.52,Merged (5 batches),{}
