Batch,Pipeline,Accuracy,AUC,Status,Best Params
0,cov_ts_lr,0.5,0.6,Dropped,{}
1,cov_ts_lr,0.9,0.8,Accepted (CSD),{}
2,cov_ts_lr,0.4,0.6,Dropped,{}
3,cov_ts_lr,0.8,0.6,Accepted (CSD),{}
4,cov_ts_lr,0.3,0.2,Dropped,{}
5,cov_ts_lr,0.4,0.6,Dropped,{}
6,cov_ts_lr,0.2,0.0,Dropped,{}
7,cov_ts_lr,0.3,0.2,Dropped,{}
8,cov_ts_lr,0.3,0.4,Dropped,{}
9,cov_ts_lr,0.0,0.0,Dropped,{}
Final,cov_ts_lr,0.65,0.75,Merged (2 batches),{}
0,cov_ts_svm,0.6,0.8,Accepted (CSD),{}
1,cov_ts_svm,0.7,0.8,Accepted (CSD),{}
2,cov_ts_svm,0.5,0.6,Dropped,{}
3,cov_ts_svm,0.6,0.6,Accepted (CSD),{}
4,cov_ts_svm,0.6,0.8,Accepted (CSD),{}
5,cov_ts_svm,0.4,0.6,Dropped,{}
6,cov_ts_svm,0.3,0.2,Dropped,{}
7,cov_ts_svm,0.5,0.4,Dropped,{}
8,cov_ts_svm,0.4,0.2,Dropped,{}
9,cov_ts_svm,0.2,0.0,Dropped,{}
Final,cov_ts_svm,0.525,0.45,Merged (4 batches),{}
0,cov_ts_mlp,0.6,0.6,Accepted (CSD),{}
1,cov_ts_mlp,0.8,0.8,Accepted (CSD),{}
2,cov_ts_mlp,0.5,0.6,Dropped,{}
3,cov_ts_mlp,0.7,0.6,Accepted (CSD),{}
4,cov_ts_mlp,0.4,0.2,Dropped,{}
5,cov_ts_mlp,0.6,0.6,Accepted (CSD),{}
6,cov_ts_mlp,0.4,0.4,Dropped,{}
7,cov_ts_mlp,0.5,0.2,Dropped,{}
8,cov_ts_mlp,0.4,0.6,Dropped,{}
9,cov_ts_mlp,0.0,0.0,Dropped,{}
Final,cov_ts_mlp,0.55,0.675,Merged (4 batches),{}
0,cov_mdm,0.7,0.8,Accepted (CSD),{}
1,cov_mdm,0.9,0.8,Accepted (CSD),{}
2,cov_mdm,0.5,0.8,Dropped,{}
3,cov_mdm,0.6,0.8,Accepted (CSD),{}
4,cov_mdm,0.6,0.4,Accepted (CSD),{}
5,cov_mdm,0.5,0.2,Dropped,{}
6,cov_mdm,0.3,0.6,Dropped,{}
7,cov_mdm,0.4,0.4,Dropped,{}
8,cov_mdm,0.2,0.2,Dropped,{}
9,cov_mdm,0.6,0.8,Accepted (CSD),{}
Final,cov_mdm,0.45999999999999996,0.496,Merged (5 batches),{}
