Batch,Pipeline,Accuracy,AUC,Status,Best Params
-1,aug_ts_lr,0.9721718088324259,0.9975963988449126,Baseline (Gold Only),{}
-1,aug_ts_svm,0.9826376285541439,0.9980720231017497,Baseline (Gold Only),{}
-1,aug_ts_mlp,0.975741076830006,0.9988109393579073,Baseline (Gold Only),{}
0,aug_ts_lr,0.9629943502824858,0.9939003831417625,Refined,{}
0,aug_ts_svm,0.9462146892655368,0.9866206896551726,Refined,{}
0,aug_ts_mlp,0.946271186440678,0.9918544061302683,Refined,{}
1,aug_ts_lr,0.931835007932311,0.9873534512660423,Refined,{}
1,aug_ts_svm,0.9448968799576942,0.9797363857093305,Refined,{}
1,aug_ts_mlp,0.9286620835536754,0.9871522719389525,Refined,{}
2,aug_ts_lr,0.9275793650793652,0.9810672883064516,Refined,{}
2,aug_ts_svm,0.9336309523809524,0.9781817036290322,Refined,{}
2,aug_ts_mlp,0.9117559523809524,0.9747416834677418,Refined,{}
3,aug_ts_lr,0.9082983682983684,0.9721877869605141,Refined,{}
3,aug_ts_svm,0.9114219114219114,0.9662362258953167,Refined,{}
3,aug_ts_mlp,0.8869930069930071,0.9676767676767677,Refined,{}
4,aug_ts_lr,0.8667690956979806,0.9639509279647689,Refined,{}
4,aug_ts_svm,0.887620719929763,0.951950298836112,Refined,{}
4,aug_ts_mlp,0.8756804214223003,0.9592744049491454,Refined,{}
5,aug_ts_lr,0.8563146997929605,0.9556110444177671,Refined,{}
5,aug_ts_svm,0.8478260869565217,0.9316542617046819,Refined,{}
5,aug_ts_mlp,0.8620703933747412,0.9589147659063626,Refined,{}
6,aug_ts_lr,0.8601721439749609,0.9542989417989419,Refined,{}
6,aug_ts_svm,0.8518388106416275,0.9318033509700177,Refined,{}
6,aug_ts_mlp,0.8685446009389672,0.9560537918871252,Refined,{}
7,aug_ts_lr,0.8477230655312848,0.9517409301193085,Refined,{}
7,aug_ts_svm,0.8395409107737875,0.920489408327246,Refined,{}
7,aug_ts_mlp,0.8369122547204739,0.9495049103157213,Refined,{}
8,aug_ts_lr,0.8304561403508772,0.9392677996556114,Refined,{}
8,aug_ts_svm,0.8384912280701755,0.9145579097102644,Refined,{}
8,aug_ts_mlp,0.8278947368421052,0.9391929325447332,Refined,{}
9,aug_ts_lr,0.8272061272061272,0.9375999169521437,Refined,{}
9,aug_ts_svm,0.8272727272727274,0.8987577424824387,Refined,{}
9,aug_ts_mlp,0.8118548118548119,0.9333679366068031,Refined,{}
