Batch,Pipeline,Accuracy,AUC,Status,Best Params
-1,aug_ts_lr,0.9617664851784633,0.9966196704603364,Baseline (Gold Only),{}
-1,aug_ts_svm,0.965275257108288,0.9975963988449126,Baseline (Gold Only),{}
-1,aug_ts_mlp,0.9721718088324259,0.9961015797519959,Baseline (Gold Only),{}
0,aug_ts_lr,0.9496610169491525,0.9927432950191571,Refined,{}
0,aug_ts_svm,0.9396045197740113,0.9897854406130268,Refined,{}
0,aug_ts_mlp,0.936271186440678,0.9930038314176244,Refined,{}
1,aug_ts_lr,0.9385510312004228,0.9876517516475893,Refined,{}
1,aug_ts_svm,0.948281332628239,0.9855775234131112,Refined,{}
1,aug_ts_mlp,0.93204653622422,0.9897676031911203,Refined,{}
2,aug_ts_lr,0.9244047619047621,0.984671118951613,Refined,{}
2,aug_ts_svm,0.9243055555555555,0.9777595766129032,Refined,{}
2,aug_ts_mlp,0.9243551587301587,0.9832913306451612,Refined,{}
3,aug_ts_lr,0.8993006993006993,0.9801767676767679,Refined,{}
3,aug_ts_svm,0.880792540792541,0.9650539485766758,Refined,{}
3,aug_ts_mlp,0.9021911421911423,0.975447658402204,Refined,{}
4,aug_ts_lr,0.899297629499561,0.9694138618014051,Refined,{}
4,aug_ts_svm,0.8875329236172081,0.9628394673377372,Refined,{}
4,aug_ts_mlp,0.8844600526777876,0.9663049176890007,Refined,{}
5,aug_ts_lr,0.8763561076604555,0.9604081632653061,Refined,{}
5,aug_ts_svm,0.8705590062111801,0.9587130852340937,Refined,{}
5,aug_ts_mlp,0.8707246376811595,0.9603409363745499,Refined,{}
6,aug_ts_lr,0.8603677621283256,0.949757495590829,Refined,{}
6,aug_ts_svm,0.8796948356807512,0.9532407407407408,Refined,{}
6,aug_ts_mlp,0.8601721439749609,0.9541887125220458,Refined,{}
7,aug_ts_lr,0.8232506479081823,0.9443348754159565,Refined,{}
7,aug_ts_svm,0.8339503887449092,0.9394691989286585,Refined,{}
7,aug_ts_mlp,0.8613106256941874,0.9518504991477965,Refined,{}
8,aug_ts_lr,0.8199649122807017,0.9332634573631802,Refined,{}
8,aug_ts_svm,0.8331929824561405,0.9298869506625739,Refined,{}
8,aug_ts_mlp,0.854561403508772,0.942925058022011,Refined,{}
9,aug_ts_lr,0.8143523143523144,0.922232603204263,Refined,{}
9,aug_ts_svm,0.8168498168498168,0.9245821654728538,Refined,{}
9,aug_ts_mlp,0.8453213453213453,0.9270355375618534,Refined,{}
