Batch,Pipeline,Accuracy,AUC,Status,Best Params
0,aug_ts_lr,0.4,0.6,Dropped,{}
1,aug_ts_lr,0.6,0.6,Accepted (CSD),{}
2,aug_ts_lr,0.6,1.0,Accepted (CSD),{}
3,aug_ts_lr,0.0,0.0,Dropped,{}
4,aug_ts_lr,0.3,0.2,Dropped,{}
5,aug_ts_lr,0.2,0.2,Dropped,{}
6,aug_ts_lr,0.4,0.6,Dropped,{}
7,aug_ts_lr,0.4,0.4,Dropped,{}
8,aug_ts_lr,0.7,0.6,Accepted (CSD),{}
9,aug_ts_lr,0.3,0.2,Dropped,{}
Final,aug_ts_lr,0.5333333333333333,0.6,Merged (3 batches),{}
0,aug_ts_svm,0.6,0.6,Accepted (CAR),{}
1,aug_ts_svm,0.6,0.6,Accepted (CAR),{}
2,aug_ts_svm,0.6,1.0,Accepted (CAR),{}
3,aug_ts_svm,0.1,0.0,Dropped,{}
4,aug_ts_svm,0.4,0.4,Dropped,{}
5,aug_ts_svm,0.3,0.6,Dropped,{}
6,aug_ts_svm,0.5,0.6,Dropped,{}
7,aug_ts_svm,0.3,0.2,Dropped,{}
8,aug_ts_svm,0.6,0.6,Accepted (CAR),{}
9,aug_ts_svm,0.6,0.2,Accepted (CAR),{}
Final,aug_ts_svm,0.48,0.6,Merged (5 batches),{}
0,aug_ts_mlp,0.5,0.6,Dropped,{}
1,aug_ts_mlp,0.7,0.8,Accepted (CSD),{}
2,aug_ts_mlp,0.6,0.8,Accepted (CSD),{}
3,aug_ts_mlp,0.1,0.0,Dropped,{}
4,aug_ts_mlp,0.6,0.2,Accepted (CSD),{}
5,aug_ts_mlp,0.3,0.4,Dropped,{}
6,aug_ts_mlp,0.3,0.2,Dropped,{}
7,aug_ts_mlp,0.4,0.4,Dropped,{}
8,aug_ts_mlp,0.5,0.4,Dropped,{}
9,aug_ts_mlp,0.4,0.4,Dropped,{}
Final,aug_ts_mlp,0.5999999999999999,0.5555555555555556,Merged (3 batches),{}
