Batch,Pipeline,Accuracy,AUC,Status,Best Params
Final,cov_ts_lr,0.7674100568062276,0.8348726225183949,Merged (49 batches),{}
Final,cov_ts_svm,0.7592047128129602,0.8298434679994446,Merged (49 batches),{}
Final,cov_ts_mlp,0.7097412160740586,0.7688133416631958,Merged (49 batches),{}
Final,cov_mdm,0.6830002103934356,0.7400562265722616,Merged (49 batches),{}
Final,aug_ts_lr,0.8188302124973699,0.8926471609051785,Merged (49 batches),{}
Final,aug_ts_svm,0.8146854618135914,0.8918627655143689,Merged (49 batches),{}
Final,aug_ts_mlp,0.8002524721228698,0.8857767596834651,Merged (49 batches),{}
Final,csp_svm,0.5571638964864296,0.7343225045120089,Merged (49 batches),{}
Final,csp_lda,0.6871028823900696,0.7356951964459253,Merged (49 batches),{}
Final,csp_rf,0.6582579423521986,0.7099906289046232,Merged (49 batches),{}
Final,csp_mlp,0.6726698926993476,0.739589407191448,Merged (49 batches),{}
