Batch,Pipeline,Accuracy,AUC,Status,Best Params
0,aug_ts_lr,0.3,0.4,Dropped,{}
1,aug_ts_lr,0.1,0.2,Dropped,{}
2,aug_ts_lr,0.6,0.8,Accepted (CSD),{}
3,aug_ts_lr,0.8,0.8,Accepted (CSD),{}
4,aug_ts_lr,0.4,0.2,Dropped,{}
5,aug_ts_lr,0.7,1.0,Accepted (CSD),{}
6,aug_ts_lr,0.7,0.4,Accepted (CSD),{}
7,aug_ts_lr,0.6,0.4,Accepted (CSD),{}
8,aug_ts_lr,0.3,0.4,Dropped,{}
9,aug_ts_lr,0.5,0.4,Dropped,{}
Final,aug_ts_lr,0.6799999999999999,0.8879999999999999,Merged (5 batches),{}
0,aug_ts_svm,0.3,0.0,Dropped,{}
1,aug_ts_svm,0.2,0.0,Dropped,{}
2,aug_ts_svm,0.8,0.8,Accepted (CSD),{}
3,aug_ts_svm,0.7,0.8,Accepted (CSD),{}
4,aug_ts_svm,0.6,0.6,Accepted (CSD),{}
5,aug_ts_svm,0.7,0.6,Accepted (CSD),{}
6,aug_ts_svm,0.4,0.4,Dropped,{}
7,aug_ts_svm,0.8,0.6,Accepted (CSD),{}
8,aug_ts_svm,0.3,0.0,Dropped,{}
9,aug_ts_svm,0.3,0.4,Dropped,{}
Final,aug_ts_svm,0.5799999999999998,0.48,Merged (5 batches),{}
0,aug_ts_mlp,0.5,0.2,Dropped,{}
1,aug_ts_mlp,0.1,0.0,Dropped,{}
2,aug_ts_mlp,0.8,0.8,Accepted (CAR),{}
3,aug_ts_mlp,0.8,1.0,Accepted (CAR),{}
4,aug_ts_mlp,0.6,0.6,Accepted (CAR),{}
5,aug_ts_mlp,0.5,0.6,Dropped,{}
6,aug_ts_mlp,0.5,0.4,Dropped,{}
7,aug_ts_mlp,0.5,0.6,Dropped,{}
8,aug_ts_mlp,0.3,0.4,Dropped,{}
9,aug_ts_mlp,0.3,0.4,Dropped,{}
Final,aug_ts_mlp,0.4666666666666666,0.48888888888888893,Merged (3 batches),{}
