Batch,Pipeline,Accuracy,AUC,Status,Best Params
-1,aug_ts_lr,0.9617664851784633,0.9966196704603364,Baseline (Gold Only),{}
-1,aug_ts_svm,0.965275257108288,0.9975963988449126,Baseline (Gold Only),{}
-1,aug_ts_mlp,0.9721718088324259,0.9961015797519959,Baseline (Gold Only),{}
0,aug_ts_lr,0.9294915254237288,0.9882222222222221,Refined,{}
0,aug_ts_svm,0.9329378531073447,0.9886590038314177,Refined,{}
0,aug_ts_mlp,0.9294915254237288,0.9911954022988507,Refined,{}
1,aug_ts_lr,0.9059756742464306,0.9808532778355878,Refined,{}
1,aug_ts_svm,0.9158117398202009,0.980270551508845,Refined,{}
1,aug_ts_mlp,0.919090428344791,0.9826292056885191,Refined,{}
2,aug_ts_lr,0.8897321428571429,0.9648059475806452,Refined,{}
2,aug_ts_svm,0.8928075396825397,0.9676663306451612,Refined,{}
2,aug_ts_mlp,0.8865575396825397,0.9723349294354839,Refined,{}
3,aug_ts_lr,0.8807925407925408,0.9601354453627181,Refined,{}
3,aug_ts_svm,0.8838694638694639,0.9668732782369146,Refined,{}
3,aug_ts_mlp,0.88993006993007,0.974879476584022,Refined,{}
4,aug_ts_lr,0.8610184372256364,0.941480549439027,Refined,{}
4,aug_ts_svm,0.8726075504828797,0.9524693299779805,Refined,{}
4,aug_ts_mlp,0.8696663740122915,0.9632536437034707,Refined,{}
5,aug_ts_lr,0.8590476190476191,0.9428379351740697,Refined,{}
5,aug_ts_svm,0.8677846790890269,0.9462376950780312,Refined,{}
5,aug_ts_mlp,0.8504347826086956,0.9455270108043218,Refined,{}
6,aug_ts_lr,0.8322769953051644,0.9321913580246914,Refined,{}
6,aug_ts_svm,0.8294600938967136,0.9297927689594356,Refined,{}
6,aug_ts_mlp,0.8154929577464788,0.9359479717813052,Refined,{}
7,aug_ts_lr,0.8586819696408738,0.9467210453696939,Refined,{}
7,aug_ts_svm,0.8314328026656794,0.9274774774774774,Refined,{}
7,aug_ts_mlp,0.8477971121806738,0.9524348672997324,Refined,{}
8,aug_ts_lr,0.814701754385965,0.9265366474507749,Refined,{}
8,aug_ts_svm,0.8067719298245615,0.9115332784307852,Refined,{}
8,aug_ts_mlp,0.8226315789473684,0.9306131616380924,Refined,{}
9,aug_ts_lr,0.8141858141858143,0.9089518668466037,Refined,{}
9,aug_ts_svm,0.8013653013653015,0.9117201287241775,Refined,{}
9,aug_ts_mlp,0.8221112221112221,0.9255614381120454,Refined,{}
